# prose-blocker triage — #610
#
# One row per blocking construct censused by `bash tools/prose-blockers.sh census` over the
# pre-prune tree, dispositioned per the manifesto's P2/P5: a prose-only blocker is either
# restated gate prose, a rule worth enforcing, or a rule that was never a control.
#
# COLUMNS  id  disposition  action  sites  enforcer  note
#
#   id           the census id. Content-derived, so a construct whose prose this prune EDITED
#                carries its post-prune id and names its predecessor in the note. A construct
#                whose prose was deleted keeps the id it was censused under.
#   disposition  gate-backed | promoted | deleted
#   action       prose-deleted | pointer-kept | lockstep-pinned | guard-added | filed
#   sites        comma-joined path:line, regenerated from the census command
#   enforcer     REPO-RELATIVE PATH :: subcommand-or-check-name, for gate-backed and promoted
#                rows. A `filed` row carries the follow-up issue instead. THIS KEY FORMAT IS
#                DECLARED REVERSIBLE: the phase-2 classification register may re-key it, and
#                everything here regenerates from the census command.
#   note         why. For `deleted`, the one line saying it was never a control.
#
# WHAT THIS FILE IS NOT. It is not a register the census reads — nothing enters the corpus by
# being listed here, and nothing leaves it by being forgotten. `bash tools/prose-blockers.sh
# check` compares the two and reports a construct with no row, a `prose-deleted` row whose
# construct is still in the tree, and a surviving-action row whose construct is gone.
#
# AGENT CONTRACT FILES. Agent contract files under plugins/*/agents carry the same construct
# class and, as of #637, ARE censused here alongside SKILL.md — the phase-2 register this
# residual used to be routed to (#605) is keyed on enforced gates in code and cannot hold
# prose, so it was never a home for it. An agent has no run to stop and no milestone ladder;
# tools/prose-blockers.sh's Corpus section says how a "stop" construct is read against that
# narrower outcome (answer / decline to answer).
#
# SEQUENCING with the open guard-size and prose-load tickets: this prune touches SKILL.md prose
# only. #553 (lean-gate.sh comments), #554 (orchestrate-lean.sh and run-selftests.sh comments)
# and #566 (milestone 3's supervision machinery) own SHELL prose in files this record only ever
# names as enforcers; #541 is their epic. Where #566 deletes milestone 3's long-sweep
# machinery, the build-lean prose describing it is #566's residual, not this record's — no row
# here disposition a construct in that block.
#

pb-2253f5d9	gate-backed	pointer-kept	plugins/dev-pipeline/skills/build-lean/SKILL.md:16	plugins/dev-pipeline/skills/build-lean/lean-gate.sh::entry	Re-keyed from pb-72c91e8c by this prune. entry states its own refusal and its own exit-2 chain for every later build-role call; the two accepting intake states restate probe_intake. The checklist step itself has to stay — it is where the run starts.
pb-e8abbe7e	gate-backed	pointer-kept	plugins/second-shift/skills/onboard/SKILL.md:38	plugins/dev-pipeline/skills/build-lean/lean-gate.sh::entry	Re-keyed from pb-43842410. The entry-gate refusal is deleted; the ABORT arm is plugins/second-shift/skills/onboard/tools/pin-resolve.sh::exit-1, which the operator reads on the review screen, so the step stays.
pb-196b73ca	gate-backed	pointer-kept	plugins/dev-pipeline/skills/review-lean/SKILL.md:38	plugins/dev-pipeline/skills/build-lean/lean-gate.sh::delta	delta owns exit 2. The hand-back on a genuinely absent attestation is a reading no gate makes, and it is why the step survives intact.
pb-ea256f2d	gate-backed	pointer-kept	plugins/dev-pipeline/skills/review-lean/SKILL.md:102	scripts/check-lean-chain.sh::verdict-record	The all-dark rule, settled KEEP / gates-llm by the parent epic. Its bucket is pre-settled, its disposition was not: an absent verdict record is already a violation at the merge boundary, which is the gate analog. This is the operative copy; pb-bdd633e7 was its duplicate. Re-keyed from pb-94ee597a at #708, which widened the rule from all-dark to "or the mandatory fidelity reviewer went dark on an armed spec" — same construct, edited prose, so it carries its post-edit id. Re-keyed from pb-3441b357: the construct now names its engine `review-toolkit:review-lead` qualified.
pb-5658947b	gate-backed	pointer-kept	plugins/dev-pipeline/skills/run-lean/SKILL.md:25	plugins/dev-pipeline/skills/run-lean/orchestrate-lean.sh::exit-codes	The exit-code table is the scheduler contract restated for a reader who has to act on it. orchestrate-lean.sh emits every code named here. Re-keyed from pb-ec1a1a92 when the resumable-reject work added a fourth exit code, and again from pb-5658947b when #650 added exit 9 for --attended; same construct, same enforcer, disposition unchanged each time. The id is content-keyed, so every edit to the table itself re-keys the row and the re-key IS the review prompt.
pb-30bb039d	gate-backed	pointer-kept	plugins/dev-pipeline/skills/build-lean/SKILL.md:40	plugins/dev-pipeline/skills/build-lean/lean-gate.sh::override_affordance	Milestone 1 refuses an unresolved pause-and-ask region, and for an attended session the gate prints the recording command itself. The prose points at that refusal; the tracker-write accounting around it is arithmetic a reader needs, not a control.
pb-dd97c66f	gate-backed	pointer-kept	plugins/second-shift/skills/onboard/SKILL.md:29	plugins/dev-pipeline/tools/config-lint.sh::topology.repos.baseBranch	config-lint refuses an empty baseBranch, but only once a config exists. This ABORT fires at detection, before the interview is spent, so it is an earlier control rather than a duplicate one.
pb-b7d0711c	gate-backed	pointer-kept	plugins/dev-pipeline/skills/pipeline-retro/SKILL.md:105	plugins/dev-pipeline/skills/build-lean/lean-gate.sh::milestone-preconditions	A routing-menu row asking whether a milestone assertion COULD refuse an outcome, citing the real precedent. It duplicates no refusal and is addressed to a retro author, not to a run.
pb-5c1cd975	gate-backed	lockstep-pinned	plugins/intake-toolkit/skills/intake-interviewer/SKILL.md:250,plugins/intake-toolkit/skills/intake-orchestrator/SKILL.md:407,plugins/intake-toolkit/skills/intake-orchestrator/SKILL.md:492,plugins/intake-toolkit/skills/plan-interview/SKILL.md:78	plugins/intake-toolkit/skills/plan-interview/tools/dup-scan.sh::exit-2	One contract, four sites (was pb-4fa33ab3, pb-72e2384e, pb-5f947221, pb-aeca4743). dup-scan.sh returns 10 for found and 2 for could-not-run precisely so a failed scan never reads as a clean one, and its header says so in the same words the four sites did. The rationale is deleted at all four; the operative instruction is now one block held identical by LOCKSTEP anchor dup-scan-rc2.
pb-dd909897	promoted	guard-added	plugins/dev-pipeline/skills/review-lean/SKILL.md:48	plugins/dev-pipeline/skills/build-lean/lean-evidence.sh::scorecard	Successor to pb-0426581f, whose unmet-AC half this promotion gated (#622). The verdict record now carries a machine-readable per-AC scorecard and the reader refuses an approve that scores its own criterion unsatisfied or undeterminable, or is silent about one the spec declares. The prose that survives is the model's judgment work — WHICH score a criterion earns, and the measurement a divergent-inert row must cite — which no gate replaces; its stop marker is a pointer to that refusal. Re-keyed from pb-e1bac772: the construct now names its engine `review-toolkit:review-lead` qualified.
