item	artifact	registered_636	registered_647	ablated_636	ablated_647	covered_in_both_ablated	consumer_max_636	consumer_max_647	consumer_min_636	consumer_min_647	consumer_sealed_636	consumer_sealed_647	consumer_sealedmin_636	consumer_sealedmin_647	consumer_verdict
M1	committed spec with numbered AC-n	covered	covered	covered	covered	yes	covered:tree	covered:tree	covered:tree	covered:tree	covered:tree	covered:tree	absent	absent	kept — covered only where the repository has its own committed lean specs; absent in both sealed-min
M2	Decision Ledger with provenance	covered	covered	covered	covered	yes	covered:tree	covered:tree	covered:tree	covered:tree	covered:tree	covered:tree	absent	absent	kept — same basis as M1
M3	lane worktree on a lane branch from the configured base	covered	covered	covered	covered	yes	covered:tree	covered:tree	covered:tree	covered:tree	absent	covered:cache	absent	absent	undetermined — the sealed samples disagree; n=2, not cut-eligible
M4	commits under the bot identity	covered	covered	absent	absent	no	covered:tree	covered:tree	covered:tree	covered:tree	absent	absent	absent	absent	kept — absent in every sealed sample
M5	Changelog: trailer	covered	covered	covered	absent	non-discriminating (CLAUDE.md mandates it for both arms)	covered	covered	covered	covered	covered	covered	covered	covered	non-discriminating (CLAUDE.md mandates it for every arm)
M6	ready non-draft PR with summary, spec link, Closes #N	covered	covered	covered	absent	no	covered:tree	covered:tree	covered:tree	covered:tree	absent	absent	absent	absent	kept — absent in every sealed sample
M7	cost block derived from the progress record	covered	covered	absent	absent	no	covered:tree	covered:tree	covered:tree	covered:tree	absent	absent	absent	absent	kept — absent in every sealed sample
M8	PR marker carrying the run identity	covered	covered	absent	absent	no	covered:tree	covered:tree	covered:tree	covered:tree	absent	absent	absent	absent	kept — absent in every sealed sample
M9	review authored outside this session	covered	covered	covered	absent	no	covered:tree	covered:tree	covered:tree	covered:tree	covered:tree	covered:tree	covered:unaided	absent	undetermined — the sealed-min samples disagree; n=2, not cut-eligible
M10	close-out: cost-log row, refreshed block, closing comment, teardown	covered	covered	partial	absent	no	covered:tree	covered:tree	covered:tree	covered:tree	absent	absent	absent	absent	kept — absent in every sealed sample
