# capability-parity.tsv — one row per STAGED-LANE CAPABILITY, with its recorded disposition.
#
# TAB-separated. Columns:
#   capability <TAB> staged implementation path(s) <TAB> disposition <TAB> lean home / decision note
#
# WHY THIS EXISTS: #348 deletes the staged lane, and its parity story is per-ARTIFACT (an orphan
# check keyed on deleted paths). A behavior whose only implementation lives inside a stage doc is
# therefore deletable with nothing red and no record that the deletion was a decision. This file
# is that record, and tools/capability-parity-check.sh is what makes #348's deletions answerable
# to it.
#
# REGISTER-WORTHY iff removing the behavior changes what a CONSUMER RUN produces or verifies — an
# artifact, a gate verdict, a review dimension — as opposed to how the run choreographs itself.
# Rows are behavior-level, not file-level: one capability may be implemented by a stage doc plus
# several tools and workflow scripts, and the path cell enumerates ALL of them, so a tools-file
# deletion is covered via its owning behavior.
#
# DISPOSITION ENUM (closed, four values):
#   ported          the behavior has a lean implementation that is not the staged one
#   already-covered a lean-native home already provides it; the note names that home
#   dropped         a real capability deliberately given no lean home; the note says where a
#                   consumer that wants it goes instead
#   choreography    dies with the stages BY NATURE (stage-progression bookkeeping). The parent's
#                   rule requires that death to be a RECORDED decision, which is why this is a
#                   first-class machine-readable value and not a synonym for `dropped`.
#
# ROWS ARE PERMANENT RECORD. A row is never removed when its staged paths die — the whole point is
# that the disposition outlives the implementation. The guard's stages-file coverage clause becomes
# vacuous once #348 lands, by design; the shape/enum lint does not.
#
# SEEDED vs PROPOSED: four rows carry dispositions settled at intake (mutation gate, visual
# capture, doc update, design-fidelity + a11y routing). Every other row was proposed by the
# stage-1..10 walk and ratified by review at the PR that introduced it.
#
# CONFIG-KEY CONSEQUENCES ride in the note cell (unitTestScope, gates.mutation, testFile,
# stageParams.visualCapture, stageParams.inertPattern, planGates, implementDelegates) so the
# config-schema assessment can execute retirement under the dead-key pattern. No key is retired
# HERE — this file records the fate, the retirement happens in the schema and config-lint.
# Executed so far: stageParams.visualCapture (#348); stageWorkflows, implementDelegates and
# planGates (#569). The `dropped` rows below keep their disposition and now name the PR that
# carried it out, so a reader can tell a proposal from a completed retirement.
#
# ---- stage 1: intake ----
queue pickup and atomic claim	plugins/dev-pipeline/skills/run/stages/1-intake.md, plugins/dev-pipeline/skills/run/tools/claim-issue.sh, plugins/dev-pipeline/skills/run/tools/gh-bot.sh	already-covered	lean-gate.sh `claim` makes the same two bot writes (label swap + claim marker) and check-lean-chain.sh gates the claim comment at the merge boundary. claim-issue.sh itself is shared, not stage-owned.
sequential-decomposition ordering	plugins/dev-pipeline/skills/run/stages/1-intake.md, plugins/dev-pipeline/skills/run/tools/predecessor-gate.sh, plugins/dev-pipeline/skills/run/stages/9-open-pr.md	dropped	No lean equivalent: nothing in build-lean/ reads a Predecessor:/Successor: trailer, so a successor queued early is claimable and the predecessor's PR carries no promotion line. A consumer wanting the ordering enforces it by not labelling the successor until the predecessor merges — which is already the routine path, since a sequential decomposition leaves blocked successors out of the queue.
intake orchestration and decomposition	plugins/dev-pipeline/skills/run/stages/1-intake.md, plugins/dev-pipeline/skills/run/workflows/intake-review.mjs	already-covered	intake-toolkit:intake / intake-orchestrator / spec-reviewer / codebase-explorer survive independently of the stages, and lean makes paid-off intake a PRECONDITION (the queue label at checklist step 1) rather than an in-run stage. The readRoot pin that grounds the fan-out at origin/<baseBranch> rides with intake-review.mjs, not with the stage doc.
design-driven detection	plugins/dev-pipeline/skills/run/stages/1-intake.md	already-covered	The lean spec's `## Design` section is the armament (handoff link + RS-n rows, or the explicit `Design: none — <reason>` disarm), state-locked once milestone 3 arms. lean-gate.sh reads the design axis from config `design.*` directly; no per-run detection step is needed.
run-authoritative acceptance-criteria snapshot	plugins/dev-pipeline/skills/run/stages/1-intake.md	already-covered	The COMMITTED lean spec is the run-authoritative definition of done — milestone 1 asserts at least one numbered AC-n, and review-lean scores every AC-n against the diff. Being committed is what makes it immune to later ticket edits, which is exactly what the statectl snapshot bought.
be-fe-pair multi-repo routing	plugins/dev-pipeline/skills/run/stages/1-intake.md, plugins/dev-pipeline/skills/run/stages/2-worktree.md, plugins/dev-pipeline/skills/run/stages/3-write-plan.md, plugins/dev-pipeline/skills/run/stages/5-implement.md, plugins/dev-pipeline/skills/run/stages/6-verify.md, plugins/dev-pipeline/skills/run/stages/7-doc-update.md, plugins/dev-pipeline/skills/run/stages/8-code-review.md, plugins/dev-pipeline/skills/run/stages/9-open-pr.md, plugins/dev-pipeline/skills/run/stages/10-cleanup.md	dropped	The whole ticketTag -> targetRepos -> per-repo worktree/verify/review/PR fan-out has no lean counterpart: nothing in build-lean/ mentions targetRepos, and lean-gate.sh works exactly one repo's worktree (its design.liveRender.cwd arm refuses a sibling checkout in those words). A pair consumer runs the lean lane once per repo. topology.type: be-fe-pair stays a valid config shape for other readers; whether it survives is #348's assessment.
# ---- stage 2: worktree ----
worktree and branch creation from the configured base	plugins/dev-pipeline/skills/run/stages/2-worktree.md, plugins/dev-pipeline/skills/run/tools/resolve-worktrees-dir.sh	already-covered	Checklist step 3 mandates a worktree on <lean prefix><issue> cut from the configured base; branch-prefix.sh owns the namespace, `lean-gate.sh entry` sweeps abandoned lane worktrees and `teardown` destroys this run's (never the branch).
# ---- stage 3: plan ----
committed plan artifact as the definition of done	plugins/dev-pipeline/skills/run/stages/3-write-plan.md	already-covered	The lean spec at <plansDir>/<repo>-<issue>-lean.md is the same artifact one rung simpler: committed on the branch, linked from the PR body (milestone 5 asserts the link), and gated for existence at milestone 1.
plan-structure hard lint	plugins/dev-pipeline/skills/run/stages/3-write-plan.md, plugins/dev-pipeline/skills/run/stages/4-plan-review.md, plugins/dev-pipeline/skills/run/tools/plan-lint.sh	dropped	Deliberate. Milestone 1 asserts the spec exists and names at least one AC-n; it asserts nothing about ten required sections, [NEW]/[UNVERIFIED] grounding tags, or an AC traceability table. The lean posture is that a spec is judged by the review half against the diff, not by a section census — and the 60-line SKILL cap exists to stop exactly this kind of process accretion returning.
Decision-Ledger hydration gate	plugins/dev-pipeline/skills/run/stages/3-write-plan.md, plugins/dev-pipeline/skills/run/tools/plan-lint.sh, plugins/dev-pipeline/skills/run/tools/ledger-corroborate.sh	dropped	The LEDGER CONTRACT itself survives outside the stages (intake-toolkit:interviewing-baseline owns the schema; exitplan-ledger-gate.sh enforces it at plan exit). What dies is the mechanical hydration check — plan-lint Check 6 requiring every backing D-n row copied verbatim into the plan. Lean treats a pre-flight <issue>-ledger.md as binding input by prose (checklist step 4), ungated.
design FE-spec produce	plugins/dev-pipeline/skills/run/stages/3-write-plan.md, plugins/dev-pipeline/skills/run/workflows/design-sync.mjs, plugins/dev-pipeline/skills/run/workflows/figma.mjs	dropped	CORRECTED (#574): this row previously read `already-covered` on the claim that the engines are dispatched by scriptPath rather than by the stage. That claim was false — the scriptPath dispatch lived in stages/3-write-plan.md and stages/5-implement.md and died with them, so design-sync.mjs and figma.mjs ship with NO dispatcher. The design-faithful/figma-faithful SKILLS do survive; the produce ENGINES are unreachable. Re-wire or retire is tracked in #574. Original note follows: design-toolkit:design-faithful-spec / figma-faithful-spec survive as skills and the engines are dispatched by scriptPath, not by the stage. Lean's gated design artifact is the spec's RS-n table plus milestone 3's render receipt at <plansDir>/<key>-lean-renders.md, which is what the review half's fidelity scoring binds to.
# ---- stage 4: plan review ----
pre-implementation plan review gate	plugins/dev-pipeline/skills/run/stages/4-plan-review.md, plugins/dev-pipeline/skills/run/workflows/plan-review.mjs	dropped	Same precedent as the doc-update row: review-toolkit:plan-reviewer survives as an on-demand agent, and lean's checklist calls the elicitation surfaces a pool, none mandated. There is no pre-implementation gate in the lean lane — the spec is judged at the merge boundary by review-lean, after the diff exists.
