# path	total	nonblank	comments	ratio_tenths   (regenerate with: prose-budget.sh --update-baseline)
# ratio_tenths is comment lines / non-blank lines in tenths of a percent: 541 = 54.1%.
plugins/design-toolkit/skills/design-faithful/lib/design-lib-selftest.sh	54	49	22	449
plugins/dev-pipeline/skills/build-lean/branch-prefix-selftest.sh	274	242	80	331
plugins/dev-pipeline/skills/build-lean/branch-prefix.sh	150	137	64	467
plugins/dev-pipeline/skills/build-lean/lean-evidence-selftest.sh	853	769	252	328
plugins/dev-pipeline/skills/build-lean/lean-evidence.sh	901	848	419	494
plugins/dev-pipeline/skills/build-lean/lean-gate-selftest.sh	6243	5733	1823	318
plugins/dev-pipeline/skills/build-lean/lean-gate.sh	4678	4431	2372	535
plugins/dev-pipeline/skills/build-lean/lean-reconcile-selftest.sh	728	660	215	326
plugins/dev-pipeline/skills/build-lean/lean-reconcile.sh	501	471	217	461
plugins/dev-pipeline/skills/build-lean/scenario-liveness-selftest.sh	2175	2054	724	352
plugins/dev-pipeline/skills/run-lean/orchestrate-lean-selftest.sh	1498	1370	425	310
plugins/dev-pipeline/skills/run-lean/orchestrate-lean.sh	922	872	520	596
plugins/dev-pipeline/tools/bot-commit-selftest.sh	361	331	88	266
plugins/dev-pipeline/tools/bot-commit.sh	193	181	98	541
plugins/dev-pipeline/tools/check-bounded-exploration-selftest.sh	387	349	86	246
plugins/dev-pipeline/tools/check-bounded-exploration.sh	273	251	114	454
plugins/dev-pipeline/tools/check-config-shadowing-selftest.sh	46	42	8	190
plugins/dev-pipeline/tools/check-config-shadowing.sh	54	51	15	294
plugins/dev-pipeline/tools/check-doc-routing-selftest.sh	103	92	16	174
plugins/dev-pipeline/tools/check-doc-routing.sh	105	99	36	364
plugins/dev-pipeline/tools/check-extensions-selftest.sh	77	67	12	179
plugins/dev-pipeline/tools/check-extensions.sh	85	80	16	200
plugins/dev-pipeline/tools/checked-call-selftest.sh	144	124	36	290
plugins/dev-pipeline/tools/checked-call.sh	66	63	47	746
plugins/dev-pipeline/tools/claim-issue.sh	93	85	51	600
plugins/dev-pipeline/tools/claim-selftest.sh	267	245	103	420
plugins/dev-pipeline/tools/claims-lint-selftest.sh	164	144	25	174
plugins/dev-pipeline/tools/claims-lint.sh	321	300	91	303
plugins/dev-pipeline/tools/config-lint-selftest.sh	227	209	70	335
plugins/dev-pipeline/tools/config-lint.sh	292	278	58	209
plugins/dev-pipeline/tools/cost-block-selftest.sh	924	841	287	341
plugins/dev-pipeline/tools/diff-range-selftest.sh	122	114	75	658
plugins/dev-pipeline/tools/gh-bot-selftest.sh	268	241	49	203
plugins/dev-pipeline/tools/gh-bot.sh	158	148	44	297
plugins/dev-pipeline/tools/install-gh-bot.sh	193	170	46	271
plugins/dev-pipeline/tools/intake-readroot-selftest.sh	75	66	39	591
plugins/dev-pipeline/tools/is-inert-diff-selftest.sh	162	147	57	388
plugins/dev-pipeline/tools/is-inert-diff.sh	156	151	130	861
plugins/dev-pipeline/tools/pipeline-cost-block.sh	835	790	281	356
plugins/dev-pipeline/tools/pipeline-doctor-selftest.sh	708	655	223	340
plugins/dev-pipeline/tools/pipeline-doctor.sh	664	619	224	362
plugins/dev-pipeline/tools/pre-commit-typecheck-selftest.sh	149	135	58	430
plugins/dev-pipeline/tools/predecessor-gate-selftest.sh	163	128	31	242
plugins/dev-pipeline/tools/predecessor-gate.sh	132	125	66	528
plugins/dev-pipeline/tools/preflight-selftest.sh	468	427	144	337
plugins/dev-pipeline/tools/preflight.sh	397	379	126	332
plugins/dev-pipeline/tools/prose-budget-selftest.sh	493	447	126	282
plugins/dev-pipeline/tools/prose-budget.sh	418	393	151	384
plugins/dev-pipeline/tools/resolve-worktrees-dir-selftest.sh	149	128	29	227
plugins/dev-pipeline/tools/resolve-worktrees-dir.sh	58	49	32	653
plugins/dev-pipeline/tools/retro-corpus-selftest.sh	437	404	123	304
plugins/dev-pipeline/tools/retro-corpus.sh	301	278	105	378
plugins/dev-pipeline/tools/score-review-selftest.sh	152	127	31	244
plugins/dev-pipeline/tools/score-review.sh	103	95	35	368
